Uniprot Accession	Description	Gene	Peptides.used.for.quantitation	Confidence.score	Molecular weight (Da)	Dataset	Bnumber	Annotated functional COG groups (letter)	Annotated functional COG group (description)	Annotated functional COG class
P0AAB8	Universal stress protein D OS=Escherichia coli (strain K12) GN=uspD PE=2 SV=1	uspD	5	275.01	16264.49707	2	b3923	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P31802	Nitrate/nitrite response regulator protein narP OS=Escherichia coli (strain K12) GN=narP PE=3 SV=1	narP	5	323.85	23542.38514	2	b2193	TK	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P76270	Protein yebR OS=Escherichia coli (strain K12) GN=yebR PE=1 SV=2	msrC	5	308.29	18092.23628	2	b1832	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AAR3	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase ybaK OS=Escherichia coli (strain K12) GN=ybaK PE=1 SV=1	ybaK	5	241.73	17064.22625	2	b0481	S	Function unknown	POORLY CHARACTERIZED
P21363	Protein yciE OS=Escherichia coli (strain K12) GN=yciE PE=1 SV=1	yciE	5	181.98	18931.47424	2	b1257	S	Function unknown	POORLY CHARACTERIZED
P76235	UPF0229 protein yeaH OS=Escherichia coli (strain K12) GN=yeaH PE=3 SV=1	yeaH	5	287.33	49343.80506	2	b1784	S	Function unknown	POORLY CHARACTERIZED
P0A8A2	UPF0082 protein yeeN OS=Escherichia coli (strain K12) GN=yeeN PE=1 SV=1	yeeN	5	254.88	25833.16003	2	b1983	S	Function unknown	POORLY CHARACTERIZED
P76346	Protein mtfA OS=Escherichia coli (strain K12) GN=mtfA PE=1 SV=2	mtfA	5	307.81	30242.07969	2	b1976	S	Function unknown	POORLY CHARACTERIZED
P22525	Probable L,D-transpeptidase YcbB OS=Escherichia coli (strain K12) GN=ycbB PE=1 SV=2	ycbB	5	294.83	67751.73072	1	b0925	S	Function unknown	POORLY CHARACTERIZED
P32157	Protein yiiM OS=Escherichia coli (strain K12) GN=yiiM PE=1 SV=2	yiiM	5	333.07	25308.67636	2	b3910	S	Function unknown	POORLY CHARACTERIZED
P32680	Uncharacterized protein yjaG OS=Escherichia coli (strain K12) GN=yjaG PE=4 SV=1	yjaG	5	256.75	22580.06443	2	b3999	S	Function unknown	POORLY CHARACTERIZED
P76193	Probable L,D-transpeptidase YnhG OS=Escherichia coli (strain K12) GN=ynhG PE=1 SV=1	ynhG	5	332.93	36041.90682	2	b1678	S	Function unknown	POORLY CHARACTERIZED
P27862	IMPACT family member yigZ OS=Escherichia coli (strain K12) GN=yigZ PE=1 SV=2	yigZ	5	222.23	21725.16451	1	b3848	S	Function unknown	POORLY CHARACTERIZED
P0AF48	UPF0047 protein yjbQ OS=Escherichia coli (strain K12) GN=yjbQ PE=3 SV=1	yjbQ	5	271.95	15627.90316	1	b4056	S	Function unknown	POORLY CHARACTERIZED
P39411	UPF0244 protein yjjX OS=Escherichia coli (strain K12) GN=yjjX PE=1 SV=2	yjjX	5	146.05	18183.33845	1	b4394	S	Function unknown	POORLY CHARACTERIZED
P36680	UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2	zapD	5	243.4	28255.84769	2	b0102	S	Function unknown	POORLY CHARACTERIZED
P0A8Y3	Phosphatase yihX OS=Escherichia coli (strain K12) GN=yihX PE=1 SV=1	yihX	5	334.88	22699.37437	2	b3885	R	General function prediction only	POORLY CHARACTERIZED
P0AE22	Class B acid phosphatase OS=Escherichia coli (strain K12) GN=aphA PE=1 SV=1	aphA	5	256.75	26069.23615	2	b4055	R	General function prediction only	POORLY CHARACTERIZED
P0A6X3	Protein hfq OS=Escherichia coli (strain K12) GN=hfq PE=1 SV=2	hfq	5	215.44	11141.57168	2	b4172	R	General function prediction only	POORLY CHARACTERIZED
P76145	Trans-aconitate 2-methyltransferase OS=Escherichia coli (strain K12) GN=tam PE=1 SV=3	tam	5	298.94	28969.46744	2	b1519	R	General function prediction only	POORLY CHARACTERIZED
P0AGG8	Protein tldD OS=Escherichia coli (strain K12) GN=tldD PE=1 SV=1	tldD	5	407.16	51314.11743	2	b3244	R	General function prediction only	POORLY CHARACTERIZED
P12994	UPF0098 protein ybhB OS=Escherichia coli (strain K12) GN=ybhB PE=1 SV=2	ybhB	5	287.67	17056.26895	2	b0773	R	General function prediction only	POORLY CHARACTERIZED
P24188	UPF0176 protein yceA OS=Escherichia coli (strain K12) GN=yceA PE=2 SV=2	yceA	5	213.15	39737.51048	2	b1055	R	General function prediction only	POORLY CHARACTERIZED
P76272	Uncharacterized protein yebT OS=Escherichia coli (strain K12) GN=yebT PE=1 SV=2	yebT	5	289.93	94893.78059	2	b1834	R	General function prediction only	POORLY CHARACTERIZED
P33030	Uncharacterized protein YeiR OS=Escherichia coli (strain K12) GN=yeiR PE=3 SV=2	yeiR	5	286.59	36072.87079	2	b2173	R	General function prediction only	POORLY CHARACTERIZED
P0AD27	Inner membrane protein yejM OS=Escherichia coli (strain K12) GN=yejM PE=1 SV=1	yejM	5	310.36	67235.66157	2	b2188	R	General function prediction only	POORLY CHARACTERIZED
P77625	Phosphatase YfbT OS=Escherichia coli (strain K12) GN=yfbT PE=1 SV=2	yfbT	5	478.53	22975.10218	2	b2293	R	General function prediction only	POORLY CHARACTERIZED
P42599	Uncharacterized oxidoreductase ygjR OS=Escherichia coli (strain K12) GN=ygjR PE=3 SV=3	ygjR	5	350.03	36173.29961	2	b3087	R	General function prediction only	POORLY CHARACTERIZED
P0AEQ1	Protein glcG OS=Escherichia coli (strain K12) GN=glcG PE=3 SV=1	glcG	5	312.73	13710.13226	2	b2977	R	General function prediction only	POORLY CHARACTERIZED
P0A756	Glutathione-regulated potassium-efflux system ancillary protein kefG OS=Escherichia coli (strain K12) GN=kefG PE=3 SV=1	kefG	5	208.02	20926.61292	1	b3351	R	General function prediction only	POORLY CHARACTERIZED
P76535	N-acetylmuramic acid 6-phosphate etherase OS=Escherichia coli (strain K12) GN=murQ PE=1 SV=1	murQ	5	464.48	31182.14441	2	b2428	R	General function prediction only	POORLY CHARACTERIZED
P0AFB1	Lipoprotein nlpI OS=Escherichia coli (strain K12) GN=nlpI PE=1 SV=1	nlpI	5	300.77	33581.82179	2	b3163	R	General function prediction only	POORLY CHARACTERIZED
P77756	7-cyano-7-deazaguanine synthase OS=Escherichia coli (strain K12) GN=queC PE=1 SV=1	queC	5	287.42	25479.74638	2	b0444	R	General function prediction only	POORLY CHARACTERIZED
P31473	ATPase ravA OS=Escherichia coli (strain K12) GN=ravA PE=1 SV=2	ravA	5	307.95	56335.57098	2	b3746	R	General function prediction only	POORLY CHARACTERIZED
P75849	Uncharacterized protein ycbL OS=Escherichia coli (strain K12) GN=ycbL PE=3 SV=1	ycbL	5	291.86	23750.94389	2	b0927	R	General function prediction only	POORLY CHARACTERIZED
P0AB28	Uncharacterized protein yceD OS=Escherichia coli (strain K12) GN=yceD PE=4 SV=1	yceD	5	259.59	19284.5742	2	b1088	R	General function prediction only	POORLY CHARACTERIZED
P76049	Uncharacterized protein ycjY OS=Escherichia coli (strain K12) GN=ycjY PE=1 SV=2	ycjY	5	323.19	33619.49098	1	b1327	R	General function prediction only	POORLY CHARACTERIZED
P0A8D6	UPF0189 protein ymdB OS=Escherichia coli (strain K12) GN=ymdB PE=1 SV=1	ymdB	5	245.81	18850.61192	2	b1045	R	General function prediction only	POORLY CHARACTERIZED
P77475	Phosphatase YqaB OS=Escherichia coli (strain K12) GN=yqaB PE=1 SV=1	yqaB	5	222.7	20748.53598	2	b2690	R	General function prediction only	POORLY CHARACTERIZED
P0AF67	UPF0079 ATP-binding protein yjeE OS=Escherichia coli (strain K12) GN=yjeE PE=3 SV=1	tsaE	5	310.7	16824.38456	2	b4168	R	General function prediction only	POORLY CHARACTERIZED
P77580	Acetaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=mhpF PE=1 SV=1	mhpF	5	204.08	33403.16874	1	b0351	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P76004	Uncharacterized protein ycgM OS=Escherichia coli (strain K12) GN=ycgM PE=1 SV=1	ycgM	5	200.78	23678.10998	2	b1180	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P16869	FhuE receptor OS=Escherichia coli (strain K12) GN=fhuE PE=1 SV=2	fhuE	5	456.42	81164.0738	2	b1102	P	Inorganic ion transport and metabolism	METABOLISM
P0AAH0	Phosphate import ATP-binding protein PstB OS=Escherichia coli (strain K12) GN=pstB PE=1 SV=2	pstB	5	284.7	28990.77068	2	b3725	P	Inorganic ion transport and metabolism	METABOLISM
P39830	Inner membrane protein ybaL OS=Escherichia coli (strain K12) GN=ybaL PE=1 SV=2	ybaL	5	282.63	59367.2376	2	b0478	P	Inorganic ion transport and metabolism	METABOLISM
P37617	Lead, cadmium, zinc and mercury-transporting ATPase OS=Escherichia coli (strain K12) GN=zntA PE=1 SV=1	zntA	5	266.38	76773.84377	2	b3469	P	Inorganic ion transport and metabolism	METABOLISM
P0AC62	Glutaredoxin-3 OS=Escherichia coli (strain K12) GN=grxC PE=1 SV=2	grxC	5	267.67	9113.62373	2	b3610	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0C054	Small heat shock protein ibpA OS=Escherichia coli (strain K12) GN=ibpA PE=1 SV=1	ibpA	5	284.87	15746.08541	2	b3687	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A744	Peptide methionine sulfoxide reductase msrA OS=Escherichia coli (strain K12) GN=msrA PE=1 SV=2	msrA	5	363.31	23282.05418	2	b4219	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A7A5	Protein-L-isoaspartate O-methyltransferase OS=Escherichia coli (strain K12) GN=pcm PE=1 SV=2	pcm	5	423.67	23225.31917	2	b2743	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A9L5	Peptidyl-prolyl cis-trans isomerase C OS=Escherichia coli (strain K12) GN=ppiC PE=1 SV=2	ppiC	5	189.55	10207.4459	2	b3775	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A832	SsrA-binding protein OS=Escherichia coli (strain K12) GN=smpB PE=1 SV=2	smpB	5	258.26	18239.66906	2	b2620	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AEE3	Protease degS OS=Escherichia coli (strain K12) GN=degS PE=1 SV=1	degS	5	239.84	37539.88162	2	b3235	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0AC69	Glutaredoxin-4 OS=Escherichia coli (strain K12) GN=grxD PE=1 SV=1	grxD	5	414.43	12852.46558	2	b1654	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P75867	Putative Lon protease homolog OS=Escherichia coli (strain K12) GN=ycbZ PE=3 SV=1	ycbZ	5	197.76	65759.22598	2	b0955	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P64554	7-carboxy-7-deazaguanine synthase homolog OS=Escherichia coli (strain K12) GN=ygcF PE=1 SV=1	queE	5	392.67	24995.63713	2	b2777	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P28249	Protein AsmA OS=Escherichia coli (strain K12) GN=asmA PE=4 SV=2	asmA	5	159.69	68902.09792	2	b2064	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0AD68	Peptidoglycan synthase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1	ftsI	5	213.82	63819.49979	2	b0084	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P61316	Outer-membrane lipoprotein carrier protein OS=Escherichia coli (strain K12) GN=lolA PE=1 SV=1	lolA	5	370.46	22465.15845	2	b0891	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A722	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Escherichia coli (strain K12) GN=lpxA PE=1 SV=1	lpxA	5	283.4	28044.39864	2	b0181	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P10441	Lipid-A-disaccharide synthase OS=Escherichia coli (strain K12) GN=lpxB PE=1 SV=2	lpxB	5	111.05	42337.17116	2	b0182	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P37773	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=mpl PE=1 SV=3	mpl	5	414.38	49824.11217	2	b4233	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P17443	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain K12) GN=murG PE=1 SV=3	murG	5	271.28	37772.88165	2	b0090	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A927	Nucleoside-specific channel-forming protein tsx OS=Escherichia coli (strain K12) GN=tsx PE=1 SV=1	tsx	5	266.59	33549.87653	2	b0411	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P37751	Uncharacterized protein yefI OS=Escherichia coli (strain K12) GN=yefI PE=4 SV=1	wbbK	5	209.13	43142.63685	2	b2032	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P45395	Arabinose 5-phosphate isomerase OS=Escherichia coli (strain K12) GN=kdsD PE=1 SV=1	kdsD	5	276.66	35155.07892	2	b3197	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P75830	Macrolide-specific efflux protein macA OS=Escherichia coli (strain K12) GN=macA PE=1 SV=2	macA	5	247.39	40580.94339	2	b0878	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P76506	Probable phospholipid-binding lipoprotein mlaA OS=Escherichia coli (strain K12) GN=mlaA PE=1 SV=1	mlaA	5	175.65	28005.73403	2	b2346	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P33362	Putative osmoprotectant uptake system substrate-binding protein osmF OS=Escherichia coli (strain K12) GN=osmF PE=2 SV=1	osmF	5	319.85	32571.10535	2	b2131	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P24173	Lipopolysaccharide heptosyltransferase 1 OS=Escherichia coli (strain K12) GN=rfaC PE=1 SV=1	rfaC	5	186.81	35503.6634	1	b3621	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P27830	dTDP-glucose 4,6-dehydratase 2 OS=Escherichia coli (strain K12) GN=rffG PE=1 SV=3	rffG	5	332.15	39710.89535	2	b3788	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A6U5	Ribosomal RNA small subunit methyltransferase G OS=Escherichia coli (strain K12) GN=rsmG PE=1 SV=1	rsmG	5	197.39	23398.35848	2	b3740	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0AG00	Lipopolysaccharide biosynthesis protein wzzE OS=Escherichia coli (strain K12) GN=wzzE PE=1 SV=2	wzzE	5	340.45	39445.94306	2	b3785	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P15038	Helicase IV OS=Escherichia coli (strain K12) GN=helD PE=1 SV=2	helD	5	224.88	77909.49086	2	b0962	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0ACF0	DNA-binding protein HU-alpha OS=Escherichia coli (strain K12) GN=hupA PE=1 SV=1	hupA	5	342.65	9511.17791	2	b4000	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P12295	Uracil-DNA glycosylase OS=Escherichia coli (strain K12) GN=ung PE=1 SV=2	ung	5	243.27	25659.18035	2	b2580	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P32664	NADH pyrophosphatase OS=Escherichia coli (strain K12) GN=nudC PE=1 SV=2	nudC	5	201.46	29651.80095	2	b3996	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P20083	DNA topoisomerase 4 subunit B OS=Escherichia coli (strain K12) GN=parE PE=1 SV=3	parE	5	317.47	70181.74399	2	b3030	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P04994	Exodeoxyribonuclease 7 large subunit OS=Escherichia coli (strain K12) GN=xseA PE=1 SV=2	xseA	5	262.16	51782.2337	2	b2509	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0ACP5	HTH-type transcriptional regulator gntR OS=Escherichia coli (strain K12) GN=gntR PE=1 SV=1	gntR	5	326.07	36380.82496	2	b3438	K	Transcription	INFORMATION STORAGE AND PROCESSING
P77569	Mhp operon transcriptional activator OS=Escherichia coli (strain K12) GN=mhpR PE=4 SV=2	mhpR	5	300.35	31284.44117	2	b0346	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0AFX4	Regulator of sigma D OS=Escherichia coli (strain K12) GN=rsd PE=1 SV=1	rsd	5	361.99	18213.43979	2	b3995	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ACN4	HTH-type transcriptional repressor AllR OS=Escherichia coli (strain K12) GN=allR PE=1 SV=1	allR	5	243.93	29233.2666	2	b0506	K	Transcription	INFORMATION STORAGE AND PROCESSING
P24242	HTH-type transcriptional regulator AscG OS=Escherichia coli (strain K12) GN=ascG PE=1 SV=3	ascG	5	304.85	36903.04607	1	b2714	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A8R9	HTH-type transcriptional regulator hdfR OS=Escherichia coli (strain K12) GN=hdfR PE=3 SV=1	hdfR	5	219.56	31708.40875	1	b4480	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0AGB6	RNA polymerase sigma-E factor OS=Escherichia coli (strain K12) GN=rpoE PE=1 SV=1	rpoE	5	320.17	21664.26101	2	b2573	K	Transcription	INFORMATION STORAGE AND PROCESSING
P23917	Fructokinase OS=Escherichia coli (strain K12) GN=mak PE=1 SV=2	mak	5	380.03	32461.33074	2	b0394	KG	Transcription	INFORMATION STORAGE AND PROCESSING
P0A6K3	Peptide deformylase OS=Escherichia coli (strain K12) GN=def PE=1 SV=2	def	5	191.43	19298.2689	2	b3287	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A8T1	Ribosomal protein L11 methyltransferase OS=Escherichia coli (strain K12) GN=prmA PE=1 SV=1	prmA	5	238.49	31838.89513	2	b3259	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7F9	S-adenosylmethionine:tRNA ribosyltransferase-isomerase OS=Escherichia coli (strain K12) GN=queA PE=1 SV=1	queA	5	221.09	39388.02367	2	b0405	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0ADY7	50S ribosomal protein L16 OS=Escherichia coli (strain K12) GN=rplP PE=1 SV=1	rplP	5	373.6	15253.44869	2	b3313	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0C018	50S ribosomal protein L18 OS=Escherichia coli (strain K12) GN=rplR PE=1 SV=1	rplR	5	237.17	12743.92073	2	b3304	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AG48	50S ribosomal protein L21 OS=Escherichia coli (strain K12) GN=rplU PE=1 SV=1	rplU	5	224.02	11539.18454	2	b3186	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7R9	30S ribosomal protein S11 OS=Escherichia coli (strain K12) GN=rpsK PE=1 SV=2	rpsK	5	371.58	13818.36297	2	b3297	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7S3	30S ribosomal protein S12 OS=Escherichia coli (strain K12) GN=rpsL PE=1 SV=2	rpsL	5	287.03	13710.49079	2	b3342	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7T3	30S ribosomal protein S16 OS=Escherichia coli (strain K12) GN=rpsP PE=1 SV=1	rpsP	5	408.11	9166.93958	2	b2609	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7U7	30S ribosomal protein S20 OS=Escherichia coli (strain K12) GN=rpsT PE=1 SV=2	rpsT	5	255.45	9660.30985	2	b0023	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P39199	Uncharacterized adenine-specific methylase yfcB OS=Escherichia coli (strain K12) GN=yfcB PE=3 SV=3	prmB	5	547.65	34961.46662	2	b2330	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AD49	Ribosome-associated inhibitor A OS=Escherichia coli (strain K12) GN=raiA PE=1 SV=2	raiA	5	482	12758.61652	2	b2597	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P06992	Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rsmA PE=1 SV=1	rsmA	5	414.87	30382.61031	2	b0051	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P25397	Tellurite resistance protein TehB OS=Escherichia coli (strain K12) GN=tehB PE=1 SV=1	tehB	5	343.6	22498.4033	2	b1430	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P45748	tRNA threonylcarbamoyladenosine biosynthesis protein RimN OS=Escherichia coli (strain K12) GN=rimN PE=1 SV=2	tsaC	5	273.77	20736.68585	2	b3282	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P62615	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase OS=Escherichia coli (strain K12) GN=ispE PE=1 SV=1	ispE	5	238.05	30887.82837	2	b1208	I	Lipid transport and metabolism	METABOLISM
P62617	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase OS=Escherichia coli (strain K12) GN=ispF PE=1 SV=1	ispF	5	348.61	16868.82668	2	b2746	I	Lipid transport and metabolism	METABOLISM
P13000	Dethiobiotin synthetase OS=Escherichia coli (strain K12) GN=bioD PE=1 SV=3	bioD	5	215.48	24106.3701	2	b0778	H	Coenzyme transport and metabolism	METABOLISM
P12998	8-amino-7-oxononanoate synthase OS=Escherichia coli (strain K12) GN=bioF PE=1 SV=1	bioF	5	254.56	41550.25394	2	b0776	H	Coenzyme transport and metabolism	METABOLISM
P0ABQ4	Dihydrofolate reductase OS=Escherichia coli (strain K12) GN=folA PE=1 SV=1	folA	5	264.31	17969.89353	2	b0048	H	Coenzyme transport and metabolism	METABOLISM
P0AC19	D-erythro-7,8-dihydroneopterin triphosphate epimerase OS=Escherichia coli (strain K12) GN=folX PE=1 SV=2	folX	5	290.44	14055.38764	2	b2303	H	Coenzyme transport and metabolism	METABOLISM
P32131	Oxygen-independent coproporphyrinogen-III oxidase OS=Escherichia coli (strain K12) GN=hemN PE=1 SV=4	hemN	5	349.43	52677.67322	2	b3867	H	Coenzyme transport and metabolism	METABOLISM
P10902	L-aspartate oxidase OS=Escherichia coli (strain K12) GN=nadB PE=1 SV=4	nadB	5	215.98	60281.35972	2	b2574	H	Coenzyme transport and metabolism	METABOLISM
P06611	Vitamin B12 import ATP-binding protein BtuD OS=Escherichia coli (strain K12) GN=btuD PE=1 SV=1	btuD	5	250	27046.14549	1	b1709	H	Coenzyme transport and metabolism	METABOLISM
P30749	Molybdopterin synthase catalytic subunit OS=Escherichia coli (strain K12) GN=moaE PE=1 SV=3	moaE	5	262.89	16952.51163	2	b0785	H	Coenzyme transport and metabolism	METABOLISM
P0C0U4	Ribosomal protein S6 modification protein OS=Escherichia coli (strain K12) GN=rimK PE=3 SV=1	rimK	5	310.43	32398.03235	1	b0852	HJ	Coenzyme transport and metabolism	METABOLISM
P39265	D-allose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=alsB PE=1 SV=1	alsB	5	234.48	32871.13079	2	b4088	G	Carbohydrate transport and metabolism	METABOLISM
P04982	D-ribose pyranase OS=Escherichia coli (strain K12) GN=rbsD PE=1 SV=3	rbsD	5	304.55	15264.79589	2	b3748	G	Carbohydrate transport and metabolism	METABOLISM
P0AG07	Ribulose-phosphate 3-epimerase OS=Escherichia coli (strain K12) GN=rpe PE=1 SV=1	rpe	5	218.95	24520.63986	1	b3386	G	Carbohydrate transport and metabolism	METABOLISM
P37643	Inner membrane metabolite transport protein yhjE OS=Escherichia coli (strain K12) GN=yhjE PE=1 SV=1	yhjE	5	442.67	47159.43524	2	b3523	G	Carbohydrate transport and metabolism	METABOLISM
P77269	ABC transporter periplasmic-binding protein yphF OS=Escherichia coli (strain K12) GN=yphF PE=1 SV=1	yphF	5	230.75	35018.23833	1	b2548	G	Carbohydrate transport and metabolism	METABOLISM
P28903	Anaerobic ribonucleoside-triphosphate reductase OS=Escherichia coli (strain K12) GN=nrdD PE=1 SV=2	nrdD	5	253.69	79954.12102	2	b4238	F	Nucleotide transport and metabolism	METABOLISM
P0AFF2	Nucleoside permease nupC OS=Escherichia coli (strain K12) GN=nupC PE=1 SV=1	nupC	5	203.79	43429.29651	2	b2393	F	Nucleotide transport and metabolism	METABOLISM
P0AG18	N5-carboxyaminoimidazole ribonucleotide mutase OS=Escherichia coli (strain K12) GN=purE PE=1 SV=2	purE	5	414.15	17751.20248	2	b0523	F	Nucleotide transport and metabolism	METABOLISM
P39452	Ribonucleoside-diphosphate reductase 2 subunit alpha OS=Escherichia coli (strain K12) GN=nrdE PE=3 SV=3	nrdE	5	199.35	80410.27706	2	b2675	F	Nucleotide transport and metabolism	METABOLISM
P0ACE7	HIT-like protein hinT OS=Escherichia coli (strain K12) GN=hinT PE=1 SV=1	hinT	5	375.33	13214.88763	2	b1103	FGR	Nucleotide transport and metabolism	METABOLISM
P68398	tRNA-specific adenosine deaminase OS=Escherichia coli (strain K12) GN=tadA PE=1 SV=2	tadA	5	271.88	18687.39382	1	b2559	FJ	Nucleotide transport and metabolism	METABOLISM
P0A9Z1	Nitrogen regulatory protein P-II 1 OS=Escherichia coli (strain K12) GN=glnB PE=1 SV=1	glnB	5	260.89	12399.5981	2	b2553	E	Amino acid transport and metabolism	METABOLISM
P0AC81	Lactoylglutathione lyase OS=Escherichia coli (strain K12) GN=gloA PE=1 SV=1	gloA	5	244.4	14892.51473	2	b1651	E	Amino acid transport and metabolism	METABOLISM
P06989	Histidine biosynthesis bifunctional protein HisIE OS=Escherichia coli (strain K12) GN=hisI PE=3 SV=3	hisI	5	344.77	22723.48932	2	b2026	E	Amino acid transport and metabolism	METABOLISM
P07109	Histidine transport ATP-binding protein HisP OS=Escherichia coli (strain K12) GN=hisP PE=1 SV=2	hisP	5	312.02	28617.07416	2	b2306	E	Amino acid transport and metabolism	METABOLISM
P0AFM2	Glycine betaine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=proX PE=1 SV=1	proX	5	326.36	35981.90441	2	b2679	E	Amino acid transport and metabolism	METABOLISM
Q5H772	Gamma-aminobutyrate aminotransferase OS=Escherichia coli (strain K12) GN=puuE PE=3 SV=1	puuE	5	253.86	44682.75437	2	b1302	E	Amino acid transport and metabolism	METABOLISM
P77316	Uncharacterized zinc-type alcohol dehydrogenase-like protein YbdR OS=Escherichia coli (strain K12) GN=ybdR PE=3 SV=1	ybdR	5	214.65	44129.68183	1	b0608	ER	Amino acid transport and metabolism	METABOLISM
