KEGG ID	Gene name	Definition
b2148	mglc, eck2141, jw2135, mglp	methyl-galactoside transporter subunit
b2149	mgla, eck2142, jw2136, mglp	fused methyl-galactoside transporter subunits of abc superfamily:
b2150	mglb, eck2143, jw2137	methyl-galactoside transporter subunit
b2151	gals, eck2144, jw2138, mgld	dna-binding transcriptional repressor
b2152	yeib, eck2145, jw2139	conserved inner membrane protein
b2153	fole, eck2146, jw2140	gtp cyclohydrolase i (ec:3,5,4,16)
b2154	yeig, eck2147, jw2141	predicted esterase (ec:3,1,1,-)
b2155	cira, cir, eck2148, feua, jw2142	ferric iron-catecholate outer membrane transporter
b2156	lysp, cadr, eck2149, jw2143	lysine transporter
b2157	yeie, eck2150, jw2144	predicted dna-binding transcriptional regulator
b2158	yeih, eck2151, jw2145	conserved inner membrane protein
b2159	nfo, eck2152, jw2146	endonuclease iv with intrinsic 3'-5' exonuclease activity
b2160	yeii, eck2153, jw2147	predicted kinase
b2161	nupx, eck2154, jw2148, yeij	predicted nucleoside transporter
b2162	rihb, eck2155, jw2149, yeik	ribonucleoside hydrolase 2 (ec:3,2,2,-)
b2163	yeil, eck2156, jw2150	dna-binding transcriptional activator of stationary phase nitrogen
b2164	psut, eck2157, jw2151, yeim	predicted nucleoside transporter
b2165	psug, eck2158, jw2152, yein	pseudouridine 5'-phosphate glycosidase
b2166	psuk, eck2159, jw2153, yeic	pseudouridine kinase
b2167	frua, eck2160, jw2154, ptsf	fused fructose-specific pts enzymes: iibcomponent/iic components
b2168	fruk, eck2161, fpk, jw2155	fructose-1-phosphate kinase (ec:2,7,1,56)
b2169	frub, eck2162, fpr, fruf, jw2156	fused fructose-specific pts enzymes: iia component/hpr component
b2170	setb, eck2163, jw2157, yeio	lactose/glucose efflux system
b2171	yeip, eck2165, jw5362	predicted elongtion factor
b2172	yeiq, eck2166, jw2160	predicted dehydrogenase, nad-dependent
b2173	yeir, eck2167, jw2161	predicted enzyme
b2174	lpxt, eck2168, jw2162, yeiu	undecaprenyl pyrophosphate phosphatase
b2175	spr, eck2169, jw2163, yeiv	predicted peptidase, outer membrane lipoprotein
b2176	rtn, eck2170, jw2164	conserved protein
b2177	yeja, eck2171, jw2165	predicted oligopeptide transporter subunit
b2178	yejb, eck2172, jw2166	predicted oligopeptide transporter subunit
b2179	yeje, eck2173, jw2167	predicted oligopeptide transporter subunit
b2180	yejf, eck2174, jw2168	fused predicted oligopeptide transporter subunits of abc
b2181	yejg, eck2175, jw2169	predicted protein
b2182	bcr, bica, bicr, eck2176, jw5363, sur, suxa	bicyclomycin/multidrug efflux system
b2183	rsua, eck2177, jw2171, yejd	16s rrna pseudouridylate 516 synthase (ec:4,2,1,70)
b2184	yejh, eck2178, jw2172, yeji, yejj	predicted atp-dependet helicase
b2185	rply, eck2179, jw2173	50s ribosomal subunit protein l25
b2186	yejk, eck2180, jw2174	nucleotide associated protein
b2187	yejl, eck2181, jw2175	conserved protein
b2188	yejm, eck2182, jw2176, yejn	predicted hydrolase, inner membrane
b2189	prol, eck2183, jwr0042, prow	trna-pro
b2190	yejo, eck2184, jw5839	pseudogene
b2193	narp, eck2185, jw2181	dna-binding response regulator in two-component regulatory system
b2194	ccmh, eck2186, jw2182, yejp	heme lyase, ccmh subunit
b2195	ccmg, dsbe, eck2187, jw2183, yejq	periplasmic thioredoxin of cytochrome c-type biogenesis
b2196	ccmf, eck2188, jw2184, yejr	heme lyase, ccmf subunit
b2197	ccme, eck2189, jw2185, yejs	periplasmic heme chaperone
b2198	ccmd, eck2190, jw2186, yojm	cytochrome c biogenesis protein
b2199	ccmc, eck2191, jw2187, yejt, yeju	heme exporter subunit
b2200	ccmb, eck2192, jw2188, yejv	heme exporter subunit
b2201	ccma, eck2193, jw5366, yejw	heme exporter subunit
b2202	napc, eck2194, jw2190, yejx	nitrate reductase, cytochrome c-type, periplasmic
b2203	napb, eck2195, jw5367, yejy	nitrate reductase, small, cytochrome c550 subunit, periplasmic
b2204	naph, eck2196, jw2192, yejz	ferredoxin-type protein essential for electron transfer from
b2205	napg, eck2197, jw2193, yoja, yojb	ferredoxin-type protein essential for electron transfer from
b2206	napa, eck2198, jw2194, yojc, yojd, yoje	nitrate reductase, periplasmic, large subunit (ec:1,7,99,4)
b2207	napd, eck2199, jw2195, yojf	assembly protein for periplasmic nitrate reductase
b2208	napf, eck2200, jw2196, yojg	ferredoxin-type protein, predicted role in electron transfer to
b2209	eco, eck2201, eti, jw2197	ecotin, a serine protease inhibitor
b2210	mqo, eck2202, jw2198, yojh	malate dehydrogenase, fad/nad(p)-binding domain (ec:1,1,99,16)
b2211	yoji, eck2203, jw2199, yojj	fused predicted multidrug transport subunits of abc superfamily:
b2212	alkb, aidd, eck2204, jw2200	oxidative demethylase of n1-methyladenine or n3-methylcytosine dna
b2213	ada, eck2205, jw2201	fused dna-binding transcriptional dual
b2214	apbe, eck2206, jw5368, yojk, yojl	predicted thiamine biosynthesis lipoprotein
b2215	ompc, eck2207, jw2203, meoa, par	outer membrane porin protein c
b2216	rcsd, eck2209, jw2204, yojn, yojp, yojq	phosphotransfer intermediate protein in two-component regulatory
b2217	rcsb, eck2210, jw2205, viaa	dna-binding response regulator in two-component regulatory system
b2218	rcsc, eck2211, jw5917, jw5920	hybrid sensory kinase in two-component regulatory system with rcsb
b2219	atos, eck2212, jw2213	sensory histidine kinase in two-component regulatory system with
b2220	atoc, az, eck2213, jw2214	fused response regulator of ato operon, in two-component system with
b2221	atod, eck2214, jw2215	acetyl-coa:acetoacetyl-coa transferase, alpha subunit (ec:2,8,3,8)
b2222	atoa, eck2215, jw2216	acetyl-coa:acetoacetyl-coa transferase, beta subunit (ec:2,8,3,8)
b2223	atoe, eck2216, jw2217	short chain fatty acid transporter
b2224	atob, eck2217, jw2218	acetyl-coa acetyltransferase (ec:2,3,1,9)
b2225	yfap, eck2218, jw2219	conserved protein
b2226	yfaq, eck2219, jw2220	predicted protein
b2229	yfat, eck2221, jw2223	predicted protein
b2230	yfaa, eck2222, jw2224, pufy	predicted protein
b2231	gyra, eck2223, hisw, jw2225, nala, nfxa, nora, pard	dna gyrase (type ii topoisomerase), subunit a (ec:5,99,1,3)
b2232	ubig, eck2224, jw2226, pufx, yfab	bifunctional 3-demethylubiquinone-9
b2233	yfal, eck2225, jw2227, yfaf, yfaj, yfak	adhesin
b2234	nrda, dnaf, eck2226, jw2228	ribonucleoside diphosphate reductase 1, alpha subunit (ec:1,17,4,1)
b2235	nrdb, eck2227, ftsb, jw2229	ribonucleoside diphosphate reductase 1, beta subunit, ferritin-like
b2236	yfae, eck2228, jw2230	predicted 2fe-2s cluster-containing protein
b2237	inaa, eck2229, jw2231, yfag	conserved protein
b2238	yfah, eck2230, jw2232	pseudogene
b2239	glpq, eck2231, jw2233	periplasmic glycerophosphodiester phosphodiesterase (ec:3,1,4,46)
b2240	glpt, eck2232, jw2234	sn-glycerol-3-phosphate transporter
b2241	glpa, eck2233, jw2235	sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit,
b2242	glpb, eck2234, jw2236, psi-51	sn-glycerol-3-phosphate dehydrogenase (anaerobic), membrane anchor
b2243	glpc, eck2235, jw2237	sn-glycerol-3-phosphate dehydrogenase (anaerobic), small subunit
b2244	yfad, eck2236, jw2238	conserved protein
b2245	yfau, eck2238, jw2239	predicted 2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase
b2246	yfav, eck2239, jw2240	predicted transporter
b2247	yfaw, eck2240, jw2241	predicted enolase
b2248	yfax, eck2241, jw2242	predicted dna-binding transcriptional regulator
b2249	yfay, cina, eck2242, jw2243	conserved protein
b2250	yfaz, eck2243, jw5371	predicted outer membrane porin protein
b2251	nudi, eck2244, jw2245, yfao	predicted nudix hydrolase
b2252	ais, eck2245, jw2246, pagh, pmrg	conserved protein
b2253	arnb, eck2246, jw5372, pgbp1, pmrh, yfbe	uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate)
b2254	arnc, eck2247, jw2248, orf2, pmrf, yfbf	undecaprenyl phosphate-l-ara4fn transferase
b2255	arna, eck2248, jw2249, pbgp3, pmri, saf, yfbg	fused udp-l-ara4n formyltransferase/udp-glca c-4'-decarboxylase
b2256	arnd, eck2249, jw2250, pbgp4, yfbh	conserved protein
b2257	arnt, eck2250, jw2251, pbge1, pmrk, pqab, yfbi	4-amino-4-deoxy-l-arabinose transferase
b2258	arnf, eck2252, jw5373, pbge3, yfbj	predicted inner membrane protein
b2259	pmrd, eck2253, jw2254	polymyxin resistance protein b
b2260	mene, eck2254, jw2255	o-succinylbenzoate-coa ligase (ec:6,2,1,26)
b2261	menc, eck2255, jw2256	o-succinylbenzoyl-coa synthase (ec:4,2,1,-)
b2262	menb, eck2256, jw2257	dihydroxynaphthoic acid synthetase (ec:4,1,3,36)
b2263	yfbb, eck2257, jw2258	predicted peptidase
b2264	mend, eck2258, jw5374	bifunctional 2-oxoglutarate decarboxylase/shchc synthase
b2265	menf, eck2259, jw2260, yfba	isochorismate synthase 2 (ec:5,4,4,2)
b2266	elab, eck2260, jw2261, yfbd	conserved protein
b2267	elaa, eck2261, jw2262, yfbc	predicted acyltransferase with acyl-coa n-acyltransferase domain
b2268	rbn, eck2262, ecoz, elac, jw2263, rnz, zipd	binuclear zinc phosphodiesterase
b2269	elad, eck2263, jw5840	predicted enzyme
b2270	yfbk, eck2264, jw2265	conserved protein
b2271	yfbl, eck2265, jw2266	predicted peptidase
b2272	yfbm, eck2266, jw2267	predicted protein
b2273	yfbn, eck2267, jw2268	predicted protein
b2274	yfbo, eck2268, jw2269	predicted protein
b2275	yfbp, eck2269, jw2270	predicted protein
b2276	nuon, eck2270, jw2271	nadh:ubiquinone oxidoreductase, membrane subunit n
b2277	nuom, eck2271, jw2272, nuoa	nadh:ubiquinone oxidoreductase, membrane subunit m
b2278	nuol, eck2272, jw2273	nadh:ubiquinone oxidoreductase, membrane subunit l
b2279	nuok, eck2273, jw2274	nadh:ubiquinone oxidoreductase, membrane subunit k
b2280	nuoj, eck2274, jw2275	nadh:ubiquinone oxidoreductase, membrane subunit j
b2281	nuoi, eck2275, jw2276	nadh:ubiquinone oxidoreductase, chain i (ec:1,6,5,3)
b2282	nuoh, eck2276, jw2277	nadh:ubiquinone oxidoreductase, membrane subunit h
b2283	nuog, eck2277, jw2278	nadh:ubiquinone oxidoreductase, chain g (ec:1,6,5,3)
b2284	nuof, eck2278, jw2279, nuob	nadh:ubiquinone oxidoreductase, chain f (ec:1,6,5,3)
b2285	nuoe, eck2279, jw2280	nadh:ubiquinone oxidoreductase, chain e (ec:1,6,5,3)
b2286	nuoc, eck2280, jw5375, nuocd, nuod	nadh:ubiquinone oxidoreductase, chain c,d (ec:1,6,5,3)
b2287	nuob, eck2281, jw5875	nadh:ubiquinone oxidoreductase, chain b (ec:1,6,5,3)
b2288	nuoa, eck2282, jw2283	nadh:ubiquinone oxidoreductase, membrane subunit a
b2289	lrha, eck2283, genr, jw2284	dna-binding transcriptional repressor of flagellar, motility and
b2290	yfbq, eck2284, jw2287	predicted aminotransferase
b2291	yfbr, eck2285, jw2288	deoxyribonucleoside 5'-monophosphatase
b2292	yfbs, eck2286, jw2289	predicted transporter
b2293	yfbt, eck2287, jw5376	predicted hydrolase or phosphatase
b2294	yfbu, eck2288, jw2291	conserved protein
b2295	yfbv, eck2289, jw2292	conserved inner membrane protein
b2296	acka, eck2290, jw2293	acetate kinase a and propionate kinase 2 (ec:2,7,2,- 2,7,2,1)
b2297	pta, eck2291, jw2294	phosphate acetyltransferase (ec:2,3,1,8)
b2298	yfcc, eck2292, jw2295	predicted inner membrane protein
b2299	yfcd, eck2293, jw2296	predicted nudix hydrolase
b2300	yfce, eck2294, jw5377	predicted phosphatase
b2301	yfcf, eck2295, jw2298	predicted enzyme
b2302	yfcg, eck2296, jw2299	predicted glutathione s-transferase
b2303	folx, eck2297, jw2300	d-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and
b2304	yfch, eck2298, jw2301	conserved protein with nad(p)-binding rossmann-fold domain
b2305	yfci, eck2299, jw2302	conserved protein
b2306	hisp, eck2300, jw2303	histidine/lysine/arginine/ornithine transporter subunit
b2307	hism, eck2301, jw2304	histidine/lysine/arginine/ornithine transporter subunit
b2308	hisq, eck2302, jw2305	histidine/lysine/arginine/ornithine transporter subunit
b2309	hisj, eck2303, jw2306	histidine/lysine/arginine/ornithine transporter subunit
b2310	argt, eck2304, jw2307	lysine/arginine/ornithine transporter subunit
b2311	ubix, dedf, eck2305, jw2308	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (ec:4,1,1,-)
b2312	purf, ade, eck2306, jw2309, purc	amidophosphoribosyltransferase (ec:2,4,2,14)
b2313	cvpa, dede, eck2307, jw2310	membrane protein required for colicin v production
b2314	dedd, eck2308, jw5378	conserved protein
b2315	folc, dedc, eck2309, jw2312	bifunctional folylpolyglutamate synthase/dihydrofolate synthase
b2316	accd, dedb, eck2310, jw2313, usg	acetyl-coa carboxylase, beta (carboxyltranferase) subunit
b2317	deda, eck2311, jw2314	conserved inner membrane protein
b2318	trua, asuc, eck2312, hist, jw2315, leuk	pseudouridylate synthase i (ec:4,2,1,70)
b2319	usg, eck2313, jw2316	predicted semialdehyde dehydrogenase
b2320	pdxb, eck2314, jw2317	erythronate-4-phosphate dehydrogenase (ec:1,1,1,-)
b2321	flk, div, eck2315, jw2318, rflh	predicted flagella assembly protein
b2322	yfcj, eck2316, jw2319	predicted transporter
b2323	fabb, eck2317, fabc, jw2320	3-oxoacyl-
b2324	mnmc, eck2318, jw5380, yfck	fused 5-methylaminomethyl-2-thiouridine-forming enzyme
b2325	yfcl, eck2319, jw2322	predicted protein
b2326	yfcm, eck2320, jw5381	conserved protein
b2327	yfca, eck2321, jw2324	conserved inner membrane protein
b2328	mepa, eck2322, jw2325	murein dd-endopeptidase (ec:3,4,24,-)
b2329	aroc, eck2323, jw2326	chorismate synthase (ec:4,2,3,5)
b2330	prmb, eck2324, jw5841, yfcb	n5-glutamine methyltransferase (ec:2,1,1,-)
b2331	yfcn, eck2325, jw2328	conserved protein
b2332	yfco, eck2326, jw2329	predicted protein
b2333	yfcp, eck2327, fmap, jw2330	predicted fimbrial-like adhesin protein
b2334	yfcq, eck2328, fmaq, jw2331	predicted fimbrial-like adhesin protein
b2335	yfcr, eck2329, fmar, jw2332	predicted fimbrial-like adhesin protein
b2336	yfcs, eck2330, jw2333	predicted periplasmic pilus chaperone
b2339	yfcv, eck2333, fmas, jw2336	predicted fimbrial-like adhesin protein
b2340	sixa, eck2334, jw2337, yfcw	phosphohistidine phosphatase (ec:3,1,3,-)
b2341	fadj, eck2335, jw2338, yfcx	fused enoyl-coa hydratase and epimerase and
b2342	fadi, eck2336, jw2339, yfcy	beta-ketoacyl-coa thiolase, anaerobic, subunit (ec:2,3,1,16)
b2343	yfcz, eck2337, jw2340	conserved protein
b2344	fadl, eck2338, jw2341, ttr	long-chain fatty acid outer membrane transporter
b2345	yfdf, eck2339, jw2342	predicted protein
b2346	vacj, eck2340, jw2343	predicted lipoprotein
b2347	yfdc, eck2341, jw2344	predicted inner membrane protein
b2348	argw, eck2342, jwr0044	trna-arg
b2349	ints, eck2343, intc, jw2345, yfdb	cps-53 (kple1) prophage; predicted prophage cps-53 integrase
b2350	gtra, eck2344, jw2346, yfdg	cps-53 (kple1) prophage; bactoprenol-linked glucose translocase
b2351	gtrb, eck2345, jw2347, yfdh	cps-53 (kple1) prophage; bactoprenol glucosyl transferase
b2352	gtrs, eck2346, gtriv, jw5382, yfdi	cps-53 (kple1) prophage; predicted inner membrane protein
b2353	tfas, eck2347, jw5383, yfdj	pseudogene
b2354	yfdk, eck2348, jw2350	cps-53 (kple1) prophage; conserved protein
b2355	yfdl, eck2349, jw5384	pseudogene
b2356	yfdm, eck2350, jw2352, yzyb	pseudogene
b2357	yfdn, eck2351, jw5385, yzya	cps-53 (kple1) prophage; predicted protein
b2358	owes, eck2352, jw2355, yfdo	pseudogene
b2359	yfdp, eck2353, jw2356	cps-53 (kple1) prophage; predicted protein
b2360	yfdq, eck2354, jw2357	cps-53 (kple1) prophage; predicted protein
b2361	yfdr, eck2355, jw2358	cps-53 (kple1) prophage; conserved protein
b2362	yfds, eck2356, jw2359	cps-53 (kple1) prophage; predicted protein
b2363	yfdt, eck2357, jw5887	cps-53 (kple1) prophage; predicted protein
b2364	dsdc, eck2360, jw2361	dna-binding transcriptional dual regulator
b2365	dsdx, dsdc, eck2361, jw2362, yfda, yfdd	predicted transporter
b2366	dsda, eck2362, jw2363	d-serine ammonia-lyase (ec:4,3,1,18)
b2367	emry, eck2363, jw2364	predicted multidrug efflux system
b2368	emrk, eck2364, jw2365	emrky-tolc multidrug resistance efflux pump, membrane fusion protein
b2369	evga, eck2365, jw2366	dna-binding response regulator in two-component regulatory system
b2370	evgs, eck2366, jw2367	hybrid sensory histidine kinase in two-component regulatory system
b2371	yfde, eck2367, jw2368	predicted coa-transferase, nad(p)-binding
b2372	yfdv, eck2368, jw2369	predicted transporter
b2373	oxc, eck2369, jw2370, yfdu	predicted oxalyl-coa decarboxylase
b2374	frc, eck2370, jw2371, yfdw	formyl-coa transferase, nad(p)-binding
b2375	yfdx, eck2371, jw2372	predicted protein
b2376	ypdi, eck2372, jw2373	predicted lipoprotein involved in colanic acid biosynthesis
b2377	yfdy, eck2373, jw2374	predicted inner membrane protein
b2378	lpxp, ddg, eck2374, jw2375	palmitoleoyl-acyl carrier protein (acp)-dependent acyltransferase
b2379	yfdz, eck2375, jw2376	prediected aminotransferase, plp-dependent
b2380	ypda, eck2376, jw5388	predicted sensory kinase in two-component system with ypdb
b2381	ypdb, eck2377, jw2378	predicted response regulator in two-component system withypda
b2382	ypdc, eck2378, jw2379	predicted dna-binding protein
b2383	frya, eck2379, jw2380, ypdd	fused predicted pts enzymes: hpr component/enzyme i component/enzyme
b2384	ypde, eck2380, jw2381	predicted peptidase
b2385	ypdf, eck2381, jw2382	predicted peptidase
b2386	fryc, eck2382, jw2383, ypdg	predicted enzyme iic component of pts
b2387	fryb, eck2383, jw5389, ypdh	predicted enzyme iib component of pts
b2388	glk, eck2384, jw2385	glucokinase (ec:2,7,1,2)
b2389	yfeo, eck2385, jw2386	predicted ion channel protein
b2390	ypec, eck2386, jw2387	conserved protein
b2392	mnth, eck2387, jw2388, mnta, yfep	manganese/divalent cation transporter
b2393	nupc, cru, eck2388, jw2389	nucleoside (except guanosine) transporter
b2394	insl, eck0016	is186/is421 transposase
b2395	yfea, eck2389, jw5391	predicted diguanylate cyclase
b2397	alaw, alawalpha, eck2391, jwr0045	trna-ala
b2398	yfec, eck2392, jw2393	predicted dna-binding transcriptional regulator
b2399	yfed, eck2393, jw2394	predicted dna-binding transcriptional regulator
b2400	gltx, eck2394, jw2395	glutamyl-trna synthetase (ec:6,1,1,17)
b2405	xapr, eck2399, jw2396, prndr, yfeb	dna-binding transcriptional activator
b2406	xapb, eck2400, jw2397	xanthosine transporter
b2407	xapa, eck2401, jw2398, pnda	purine nucleoside phosphorylase ii (ec:2,4,2,1)
b2408	yfen, eck2402, jw2399	conserved outer membrane protein
b2409	yfer, eck2403, jw2400, osmt	predicted dna-binding transcriptional regulator
b2410	yfeh, eck2404, jw5876	predicted inner membrane protein
b2411	liga, dnal, eck2406, jw2403, lig, lop, pdec	dna ligase, nad(+)-dependent (ec:6,5,1,2)
b2412	zipa, eck2407, jw2404	cell division protein involved in z ring assembly
b2413	cysz, eck2408, jw2406	predicted inner membrane protein
b2414	cysk, cysz, eck2409, jw2407	cysteine synthase a, o-acetylserine sulfhydrolase a subunit
b2415	ptsh, ctr, eck2410, hpr, jw2408	phosphohistidinoprotein-hexose phosphotransferase component of pts
b2416	ptsi, ctr, eck2411, jw2409	pep-protein phosphotransferase of pts system (enzyme i) (ec:2,7,3,9)
b2417	crr, eck2412, gsr, iex, jw2410, tgs, tred	glucose-specific enzyme iia component of pts (ec:2,7,1,69)
b2418	pdxk, eck2413, jw2411, pdxl, thij, yfei	pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase
b2419	yfek, eck2414, jw2412	predicted protein
b2420	yfes, eck2415, jw2413	conserved protein
b2421	cysm, eck2416, jw2414	cysteine synthase b (o-acetylserine sulfhydrolase b) (ec:2,5,1,47)
b2422	cysa, eck2417, jw2415	sulfate/thiosulfate transporter subunit (ec:3,6,3,25)
b2423	cysw, eck2418, jw2416	sulfate/thiosulfate transporter subunit
b2424	cysu, cyst, eck2419, jw2417	sulfate/thiosulfate transporter subunit
b2425	cysp, eck2420, jw2418	thiosulfate transporter subunit
b2426	ucpa, eck2421, jw5394, yfef	predicted oxidoredutase, sulfate metabolism protein
b2427	murr, eck2422, jw2420, yfet	predicted dna-binding transcriptional regulator
b2428	murq, eck2423, jw2421, yfeu	predicted pts component
b2429	murp, eck2424, jw2422, yfev	fused predicted pts enzymes: iib component/iic component
b2430	yfew, eck2425, jw5395, pbp4b	predicted periplasmic esterase
b2431	yfex, eck2426, jw2424	conserved protein
b2432	yfey, eck2427, jw2425	predicted protein
b2433	yfez, eck2428, jw2426	predicted inner membrane protein
b2434	ypea, eck2429, jw2427	predicted acyltransferase with acyl-coa n-acyltransferase domain
b2435	amia, eck2430, jw2428, yfee	n-acetylmuramoyl-l-alanine amidase i (ec:3,5,1,28)
b2436	hemf, eck2431, jw2429, popb, sec	coproporphyrinogen iii oxidase (ec:1,3,3,3)
b2437	eutr, eck2432, jw2430, yfeg	predicted dna-binding transcriptional regulator
b2438	eutk, eck2433, jw2431, yffi	predicted carboxysome structural protein with predicted role in
b2439	eutl, eck2434, jw2432, yffj	predicted carboxysome structural protein with predicted role in
b2440	eutc, eck2435, jw2433	ethanolamine ammonia-lyase, small subunit (light chain) (ec:4,3,1,7)
b2441	eutb, eck2436, jw2434	ethanolamine ammonia-lyase, large subunit, heavy chain (ec:4,3,1,7)
b2442	intz, eck2437	cpz-55 prophage; predicted integrase
b2443	yffl, eck2438	cpz-55 prophage; predicted protein
b2444	yffm, eck2439	cpz-55 prophage; predicted protein
b2445	yffn, eck2440	cpz-55 prophage; predicted protein
b2446	yffo, eck2441	cpz-55 prophage; predicted protein
b2447	yffp, eck2442	cpz-55 prophage; predicted protein
b2448	yffq, eck2443	cpz-55 prophage; predicted protein
b2449	yffr, eck2444	cpz-55 prophage; predicted protein
b2450	yffs, eck2445	cpz-55 prophage; predicted protein
b2451	euta, eck2446, jw2435, yfft	reactivating factor for ethanolamine ammonia lyase
b2452	euth, eck2447, jw2436, yffu	predicted inner membrane protein
b2453	eutg, eck2448, jw2437, yffv	predicted alcohol dehydrogenase in ethanolamine utilization
b2454	eutj, eck2449, jw2438, yffw	predicted chaperonin, ethanolamine utilization protein
b2455	eute, eck2450, jw2439, yffx	predicted aldehyde dehydrogenase, ethanolamine utilization protein
b2456	eutn, cchb, eck2451, jw2440, yffy	predicted carboxysome structural protein, ethanolamine utilization
b2457	eutm, ccha, eck2452, jw2441, yffz	predicted carboxysome structural protein, ethanolamine utilization
b2458	eutd, eck2453, euti, jw2442, ypfa	predicted phosphotransacetylase subunit
b2459	eutt, eck2454, jw2443, ypfb	predicted cobalamin adenosyltransferase in ethanolamine utilization
b2460	eutq, eck2455, jw2444, ypfc	conserved protein
b2461	eutp, eck2456, jw2445, ypfd	conserved protein with nucleoside triphosphate hydrolase domain
b2462	euts, eck2457, jw2446, ypfe	predicted carboxysome structural protein with predicted role in
b2463	maeb, eck2458, jw2447, ypff	fused malic enzyme predicted oxidoreductase/predicted
b2464	tala, eck2459, jw2448	transaldolase a (ec:2,2,1,2)
b2465	tktb, eck2460, jw2449	transketolase 2, thiamin-binding (ec:2,2,1,1)
b2466	ypfg, eck2461, jw2450	predicted protein
b2467	nudk, eck2462, jw2451, yffh	predicted nudix hydrolase
b2468	aega, eck2463, jw2452, yffg	fused predicted oxidoreductase: fes binding subunit/nad/fad-binding
b2469	narq, eck2464, jw2453	sensory histidine kinase in two-component regulatory system with
b2470	acrd, eck2465, jw2454, yffa	aminoglycoside/multidrug efflux system
b2471	yffb, eck2466, jw2455	conserved protein
b2472	dape, eck2467, jw2456, msgb	n-succinyl-diaminopimelate deacylase (ec:3,5,1,18)
b2473	ypfh, eck2469, jw5396	predicted hydrolase
b2474	tmca, eck2470, jw2459, ypfi	elongator methionine trna (ac4c34) acetyltransferase
b2475	ypfj, eck2471, jw2460	conserved protein
b2476	purc, ade, eck2472, jw2461	phosphoribosylaminoimidazole-succinocarboxamide synthetase
b2477	bamc, dapx, eck2473, jw2462, nlpb	lipoprotein
b2478	dapa, eck2474, jw2463	dihydrodipicolinate synthase (ec:4,2,1,52)
b2479	gcvr, eck2475, jw2464, yffd	dna-binding transcriptional repressor, regulatory protein accessory
b2480	bcp, eck2476, jw2465	thiol peroxidase, thioredoxin-dependent (ec:1,11,1,- 1,11,1,7)
b2481	hyfa, eck2477, jw2466, yffe	hydrogenase 4, 4fe-4s subunit (ec:1,-,-,-)
b2482	hyfb, eck2478, jw2467, yfff	hydrogenase 4, membrane subunit
b2483	hyfc, eck2479, jw2468	hydrogenase 4, membrane subunit
b2484	hyfd, eck2480, jw2469	hydrogenase 4, membrane subunit
b2485	hyfe, eck2481, jw2470	hydrogenase 4, membrane subunit
b2486	hyff, eck2482, jw2471	hydrogenase 4, membrane subunit
b2487	hyfg, eck2483, jw2472	hydrogenase 4, subunit (ec:1,-,-,-)
b2488	hyfh, eck2484, jw2473	hydrogenase 4, fe-s subunit (ec:1,-,-,-)
b2489	hyfi, eck2485, jw5805	hydrogenase 4, fe-s subunit (ec:1,-,-,-)
b2490	hyfj, eck2486, jw2475	predicted processing element hydrogenase 4
b2491	hyfr, eck2487, jw2476	dna-binding transcriptional activator, formate sensing
b2492	focb, eck2488, jw2477	predicted formate transporter
b2493	yfgo, eck2489, jw2478, perm	predicted inner membrane protein
b2494	yfgc, eck2490, jw2479	predicted peptidase
b2495	yfgd, eck2491, jw2480	predicted oxidoreductase
b2496	hda, eck2492, idab, jw5397, yfge	atpase regulatory factor involved in dnaa inactivation
b2497	uraa, eck2493, jw2482	uracil transporter
b2498	upp, eck2494, jw2483, urap	uracil phosphoribosyltransferase (ec:2,4,2,9)
b2499	purm, eck2495, jw2484, purg, puri	phosphoribosylaminoimidazole synthetase (ec:6,3,3,1)
b2500	purn, ade, eck2496, jw2485	phosphoribosylglycinamide formyltransferase 1 (ec:2,1,2,2)
b2501	ppk, eck2497, jw2486	polyphosphate kinase, component of rna degradosome (ec:2,7,4,1)
b2502	ppx, eck2498, jw2487	exopolyphosphatase (ec:3,6,1,11)
b2503	yfgf, eck2499, jw2488	predicted inner membrane protein
b2504	yfgg, eck2500, jw5399	predicted protein
b2505	yfgh, eck2501, jw5400	predicted outer membrane lipoprotein
b2506	yfgi, eck2502, jw2490	conserved protein
b2507	guaa, eck2503, jw2491	gmp synthetase (glutamine aminotransferase) (ec:6,3,5,2 6,3,4,1)
b2508	guab, eck2504, guar, jw5401	imp dehydrogenase (ec:1,1,1,205)
b2509	xsea, eck2505, jw2493, xse	exonuclease vii, large subunit (ec:3,1,11,6)
b2510	yfgj, eck2506, jw5402	predicted protein
b2511	der, eck2507, enga, jw5403, yfgk	predicted gtp-binding protein
b2512	bamb, eck2508, jw2496, yfgl	protein assembly complex, lipoprotein component
b2513	yfgm, eck2509, jw2497	conserved protein
b2514	hiss, eck2510, jw2498	histidyl trna synthetase (ec:6,1,1,21)
b2515	ispg, eck2511, gcpe, jw2499	1-hydroxy-2-methyl-2-(e)-butenyl 4-diphosphate synthase
b2516	rodz, eck2512, jw2500, yfga	conserved protein
b2517	rlmn, eck2513, jw2501, yfgb	23s rrna m(2)a2503 methyltransferase, sam-dependen
